catalog,shortName,mass_1_source,mass_1_source_lower,mass_1_source_upper,mass_2_source,mass_2_source_lower,mass_2_source_upper,total_mass_source,total_mass_source_lower,total_mass_source_upper,final_mass_source,final_mass_source_lower,final_mass_source_upper,luminosity_distance,luminosity_distance_lower,luminosity_distance_upper,chi_eff,chi_eff_lower,chi_eff_upper,chirp_mass_source,chirp_mass_source_lower,chirp_mass_source_upper,redshift,redshift_lower,redshift_upper,p_astro
GWTC-3-confident,GW200322_091133-v1,38.0,-22.0,130.0,11.3,-6.0,24.3,50.0,-22.0,132.0,48.0,-22.0,132.0,3500.0,-2200.0,12500.0,0.27,-0.58,0.54,15.0,-4.0,29.5,0.59,-0.32,1.43,0.61501
GWTC-3-confident,GW200316_215756-v1,13.1,-2.9,10.2,7.8,-2.9,2.0,21.2,-2.0,7.2,20.2,-1.9,7.4,1120.0,-440.0,480.0,0.13,-0.1,0.27,8.75,-0.55,0.62,0.22,-0.08,0.08,0.99
GWTC-3-confident,GW200311_115853-v1,34.2,-3.8,6.4,27.7,-5.9,4.1,61.9,-4.2,5.3,59.0,-3.9,4.8,1170.0,-400.0,280.0,-0.02,-0.2,0.16,26.6,-2.0,2.4,0.23,-0.07,0.05,0.99
GWTC-3-confident,GW200308_173609-v1,60.0,-29.0,166.0,24.0,-13.0,36.0,92.0,-48.0,169.0,88.0,-47.0,169.0,7100.0,-4400.0,13900.0,0.16,-0.49,0.58,34.0,-18.0,44.0,1.04,-0.57,1.47,0.8566
GWTC-3-confident,GW200306_093714-v1,28.3,-7.7,17.1,14.8,-6.4,6.5,43.9,-7.5,11.8,41.7,-6.9,12.3,2100.0,-1100.0,1700.0,0.32,-0.46,0.28,17.5,-3.0,3.5,0.38,-0.18,0.24,0.81156
GWTC-3-confident,GW200302_015811-v1,37.8,-8.5,8.7,20.0,-5.7,8.1,57.8,-6.9,9.6,55.5,-6.6,8.9,1480.0,-700.0,1020.0,0.01,-0.26,0.25,23.4,-3.0,4.7,0.28,-0.12,0.16,0.90643
GWTC-3-confident,GW200225_060421-v1,19.3,-3.0,5.0,14.0,-3.5,2.8,33.5,-3.0,3.6,32.1,-2.8,3.5,1150.0,-530.0,510.0,-0.12,-0.28,0.17,14.2,-1.4,1.5,0.22,-0.1,0.09,0.99
GWTC-3-confident,GW200224_222234-v1,40.0,-4.5,6.7,32.7,-7.2,4.8,72.3,-5.3,7.2,68.7,-4.8,6.7,1710.0,-650.0,500.0,0.1,-0.16,0.15,31.1,-2.7,3.3,0.32,-0.11,0.08,0.99
GWTC-3-confident,GW200220_124850-v1,38.9,-8.6,14.1,27.9,-9.0,9.2,67.0,-12.0,17.0,64.0,-11.0,16.0,4000.0,-2200.0,2800.0,-0.07,-0.33,0.27,28.2,-5.1,7.3,0.66,-0.31,0.36,0.82579
GWTC-3-confident,GW200220_061928-v1,87.0,-23.0,40.0,61.0,-25.0,26.0,148.0,-33.0,55.0,141.0,-31.0,51.0,6000.0,-3100.0,4800.0,0.06,-0.38,0.4,62.0,-15.0,23.0,0.9,-0.4,0.55,0.62376
GWTC-3-confident,GW200219_094415-v1,37.5,-6.9,10.1,27.9,-8.4,7.4,65.0,-8.2,12.6,62.2,-7.8,11.7,3400.0,-1500.0,1700.0,-0.08,-0.29,0.23,27.6,-3.8,5.6,0.57,-0.22,0.22,0.99
GWTC-3-confident,GW200216_220804-v1,51.0,-13.0,22.0,30.0,-16.0,14.0,81.0,-14.0,20.0,78.0,-13.0,19.0,3800.0,-2000.0,3000.0,0.1,-0.36,0.34,32.9,-8.5,9.3,0.63,-0.29,0.37,0.77277
GWTC-3-confident,GW200210_092254-v1,24.1,-4.6,7.5,2.83,-0.42,0.47,27.0,-4.3,7.1,26.7,-4.3,7.2,940.0,-340.0,430.0,0.02,-0.21,0.22,6.56,-0.4,0.38,0.19,-0.06,0.08,0.54462
GWTC-3-confident,GW200209_085452-v1,35.6,-6.8,10.5,27.1,-7.8,7.8,62.6,-9.4,13.9,59.9,-8.9,13.1,3400.0,-1800.0,1900.0,-0.12,-0.3,0.24,26.7,-4.2,6.0,0.57,-0.26,0.25,0.97236
GWTC-3-confident,GW200208_222617-v1,51.0,-30.0,103.0,12.3,-5.5,9.2,63.0,-26.0,100.0,61.0,-26.0,99.0,4100.0,-2000.0,4400.0,0.45,-0.46,0.42,19.8,-5.2,10.5,0.66,-0.29,0.53,0.70006
GWTC-3-confident,GW200208_130117-v1,37.7,-6.2,9.3,27.4,-7.3,6.3,65.3,-6.8,8.1,62.5,-6.4,7.5,2230.0,-850.0,1020.0,-0.07,-0.27,0.21,27.7,-3.1,3.7,0.4,-0.14,0.15,0.99
GWTC-3-confident,GW200202_154313-v1,10.1,-1.4,3.5,7.3,-1.7,1.1,17.58,-0.67,1.78,16.76,-0.66,1.87,410.0,-160.0,150.0,0.04,-0.06,0.13,7.49,-0.2,0.24,0.09,-0.03,0.03,0.99
GWTC-3-confident,GW200129_065458-v1,34.5,-3.1,9.9,29.0,-9.3,3.3,63.3,-3.4,4.5,60.2,-3.2,4.1,890.0,-370.0,260.0,0.11,-0.16,0.11,27.2,-2.3,2.1,0.18,-0.07,0.05,0.99
GWTC-3-confident,GW200128_022011-v1,42.2,-8.1,11.6,32.6,-9.2,9.5,75.0,-12.0,17.0,71.0,-11.0,16.0,3400.0,-1800.0,2100.0,0.12,-0.25,0.24,32.0,-5.5,7.5,0.56,-0.28,0.28,0.99
GWTC-3-confident,GW200115_042309-v2,5.9,-2.5,2.0,1.44,-0.28,0.85,7.4,-1.7,1.7,7.2,-1.7,1.8,290.0,-100.0,150.0,-0.15,-0.42,0.23,2.43,-0.07,0.05,0.06,-0.02,0.03,0.99
GWTC-3-confident,GW200112_155838-v1,35.6,-4.5,6.7,28.3,-5.9,4.4,63.9,-4.6,5.7,60.8,-4.3,5.3,1250.0,-460.0,430.0,0.06,-0.15,0.15,27.4,-2.1,2.6,0.24,-0.08,0.07,0.99
GWTC-3-confident,GW191230_180458-v1,49.4,-9.6,14.0,37.0,-12.0,11.0,86.0,-12.0,19.0,82.0,-11.0,17.0,4300.0,-1900.0,2100.0,-0.05,-0.31,0.26,36.5,-5.6,8.2,0.69,-0.27,0.26,0.96159
GWTC-3-confident,GW191222_033537-v1,45.1,-8.0,10.9,34.7,-10.5,9.3,79.0,-11.0,16.0,75.5,-9.9,15.3,3000.0,-1700.0,1700.0,-0.04,-0.25,0.2,33.8,-5.0,7.1,0.51,-0.26,0.23,0.99
GWTC-3-confident,GW191219_163120-v1,31.1,-2.8,2.2,1.17,-0.06,0.07,32.3,-2.7,2.2,32.2,-2.7,2.2,550.0,-160.0,240.0,0.0,-0.09,0.07,4.31,-0.17,0.12,0.11,-0.03,0.05,0.8224
GWTC-3-confident,GW191216_213338-v1,12.1,-2.2,4.6,7.7,-1.9,1.6,19.8,-0.93,2.7,18.87,-0.93,2.81,340.0,-130.0,120.0,0.11,-0.06,0.13,8.33,-0.19,0.22,0.07,-0.03,0.02,0.99
GWTC-3-confident,GW191215_223052-v1,24.9,-4.1,7.1,18.1,-4.1,3.8,43.3,-4.3,5.3,41.4,-4.1,5.1,1930.0,-860.0,890.0,-0.04,-0.21,0.17,18.4,-1.7,2.2,0.35,-0.14,0.13,0.99
GWTC-3-confident,GW191204_171526-v1,11.7,-1.7,3.3,8.4,-1.7,1.3,20.19,-0.95,1.64,19.18,-0.93,1.71,640.0,-260.0,200.0,0.16,-0.05,0.08,8.56,-0.28,0.41,0.13,-0.05,0.04,0.99
GWTC-3-confident,GW191204_110529-v1,27.3,-5.9,10.8,19.2,-6.0,5.5,47.1,-7.8,9.1,45.0,-7.5,8.7,1900.0,-1100.0,1700.0,0.05,-0.26,0.25,19.8,-3.2,3.6,0.34,-0.18,0.25,0.74239
GWTC-3-confident,GW191129_134029-v1,10.7,-2.1,4.1,6.7,-1.7,1.5,17.5,-1.2,2.4,16.8,-1.2,2.5,790.0,-330.0,260.0,0.06,-0.08,0.16,7.31,-0.28,0.43,0.16,-0.06,0.05,0.99
GWTC-3-confident,GW191127_050227-v1,53.0,-20.0,47.0,24.0,-14.0,17.0,80.0,-22.0,39.0,76.0,-21.0,39.0,3400.0,-1900.0,3100.0,0.18,-0.36,0.34,29.9,-9.1,11.7,0.57,-0.29,0.4,0.73996
GWTC-3-confident,GW191126_115259-v1,12.1,-2.2,5.5,8.3,-2.4,1.9,20.7,-2.0,3.4,19.6,-2.0,3.5,1620.0,-740.0,740.0,0.21,-0.11,0.15,8.65,-0.71,0.95,0.3,-0.13,0.12,0.70041
GWTC-3-confident,GW191113_071753-v1,29.0,-14.0,12.0,5.9,-1.3,4.4,34.5,-9.8,10.5,34.0,-10.0,11.0,1370.0,-620.0,1150.0,0.0,-0.29,0.37,10.7,-1.0,1.1,0.26,-0.11,0.18,0.68339
GWTC-3-confident,GW191109_010717-v1,65.0,-11.0,11.0,47.0,-13.0,15.0,112.0,-16.0,20.0,107.0,-15.0,18.0,1290.0,-650.0,1130.0,-0.29,-0.31,0.42,47.5,-7.5,9.6,0.25,-0.12,0.18,0.99
GWTC-3-confident,GW191105_143521-v1,10.7,-1.6,3.7,7.7,-1.9,1.4,18.5,-1.3,2.1,17.6,-1.2,2.1,1150.0,-480.0,430.0,-0.02,-0.09,0.13,7.82,-0.45,0.61,0.23,-0.09,0.07,0.99
GWTC-3-confident,GW191103_012549-v1,11.8,-2.2,6.2,7.9,-2.4,1.7,20.0,-1.8,3.7,19.0,-1.7,3.8,990.0,-470.0,500.0,0.21,-0.1,0.16,8.34,-0.57,0.66,0.2,-0.09,0.09,0.94318
GWTC-2.1-confident,GW190930_133541-v2,14.2,-4.0,8.0,6.9,-2.1,2.4,21.2,-2.0,5.9,20.2,-2.0,6.1,770.0,-320.0,320.0,0.19,-0.16,0.22,8.5,-0.4,0.5,0.16,-0.06,0.06,0.99785
GWTC-2.1-confident,GW190929_012149-v2,66.3,-16.6,21.6,26.8,-10.6,14.7,93.3,-15.0,23.3,90.3,-14.6,22.3,3130.0,-1370.0,2510.0,-0.03,-0.28,0.23,35.6,-7.4,10.2,0.53,-0.2,0.33,0.87042
GWTC-2.1-confident,GW190926_050336-v1,41.1,-12.5,20.8,20.4,-8.2,11.4,61.9,-12.0,22.7,59.6,-11.8,22.1,3280.0,-1730.0,3400.0,-0.02,-0.32,0.25,24.4,-4.9,9.0,0.55,-0.26,0.44,0.54334
GWTC-2.1-confident,GW190925_232845-v1,20.8,-2.9,6.5,15.5,-3.6,2.5,36.7,-2.8,3.6,34.9,-2.6,3.5,930.0,-350.0,460.0,0.09,-0.15,0.16,15.6,-1.1,1.1,0.19,-0.07,0.08,0.98849
GWTC-2.1-confident,GW190924_021846-v2,8.8,-1.8,4.3,5.1,-1.5,1.2,13.9,-0.9,2.8,13.3,-0.9,3.0,550.0,-220.0,220.0,0.03,-0.08,0.2,5.8,-0.2,0.2,0.11,-0.04,0.04,1.0
GWTC-2.1-confident,GW190917_114630-v1,9.7,-3.9,3.4,2.1,-0.4,1.1,11.8,-2.8,3.0,11.6,-2.9,3.1,720.0,-310.0,300.0,-0.08,-0.43,0.21,3.7,-0.2,0.2,0.15,-0.06,0.05,0.76643
GWTC-2.1-confident,GW190916_200658-v1,43.8,-12.6,19.9,23.3,-10.0,12.5,68.0,-13.1,18.3,65.0,-12.6,17.3,4940.0,-2380.0,3710.0,0.2,-0.31,0.33,26.9,-5.4,8.2,0.77,-0.32,0.45,0.65727
GWTC-2.1-confident,GW190915_235702-v2,32.6,-4.9,8.8,24.5,-5.8,4.9,57.2,-5.3,7.1,54.7,-5.0,6.6,1750.0,-650.0,710.0,-0.03,-0.24,0.19,24.4,-2.3,3.0,0.32,-0.11,0.11,1.0
GWTC-2.1-confident,GW190910_112807-v2,43.8,-6.8,7.6,34.2,-7.3,6.6,78.0,-9.1,9.3,74.4,-8.6,8.5,1520.0,-630.0,1090.0,0.0,-0.2,0.17,33.5,-4.1,4.2,0.29,-0.11,0.17,0.99669
GWTC-2.1-confident,GW190828_065509-v2,23.7,-6.7,6.8,10.4,-2.2,3.8,34.3,-4.3,5.2,33.0,-4.3,5.3,1540.0,-650.0,690.0,0.05,-0.17,0.16,13.4,-1.0,1.4,0.29,-0.11,0.11,0.99998
GWTC-2.1-confident,GW190828_063405-v2,31.9,-4.1,5.4,25.8,-5.3,4.9,57.2,-4.3,7.9,54.3,-4.0,7.3,2070.0,-920.0,650.0,0.15,-0.16,0.15,24.6,-2.0,3.6,0.38,-0.15,0.1,1.0
GWTC-2.1-confident,GW190814_211039-v3,23.3,-1.4,1.4,2.6,-0.1,0.1,25.9,-1.3,1.3,25.7,-1.3,1.3,230.0,-50.0,40.0,0.0,-0.07,0.07,6.11,-0.05,0.06,0.05,-0.01,0.01,1.0
GWTC-2.1-confident,GW190805_211137-v1,46.2,-11.2,15.4,30.6,-11.3,11.8,76.7,-13.8,19.5,72.4,-13.2,18.2,6130.0,-3080.0,3720.0,0.37,-0.39,0.29,31.9,-6.3,8.8,0.92,-0.4,0.43,0.95372
GWTC-2.1-confident,GW190803_022701-v2,37.7,-6.7,9.8,27.6,-8.5,7.6,65.0,-8.1,12.0,62.1,-7.6,11.2,3190.0,-1470.0,1630.0,-0.01,-0.28,0.23,27.6,-3.8,5.4,0.54,-0.22,0.22,0.97383
GWTC-2.1-confident,GW190731_140936-v2,41.8,-9.1,12.7,29.0,-9.9,10.2,70.7,-11.4,16.3,67.4,-10.8,15.3,3330.0,-1770.0,2350.0,0.07,-0.25,0.28,29.7,-5.3,7.4,0.56,-0.26,0.31,0.83427
GWTC-2.1-confident,GW190728_064510-v2,12.5,-2.3,6.9,8.0,-2.6,1.7,20.7,-1.4,4.2,19.7,-1.4,4.4,880.0,-380.0,260.0,0.13,-0.07,0.19,8.6,-0.3,0.6,0.18,-0.07,0.05,1.0
GWTC-2.1-confident,GW190727_060333-v2,38.9,-6.0,8.9,30.2,-8.3,6.5,68.8,-7.8,10.2,65.4,-7.3,9.5,3070.0,-1230.0,1300.0,0.09,-0.27,0.25,29.4,-3.7,4.6,0.52,-0.18,0.18,1.0
GWTC-2.1-confident,GW190725_174728-v1,11.8,-3.0,10.1,6.3,-2.5,2.1,18.3,-1.9,7.4,17.6,-1.8,7.7,1030.0,-430.0,520.0,-0.04,-0.16,0.36,7.4,-0.5,0.5,0.2,-0.08,0.09,0.96021
GWTC-2.1-confident,GW190720_000836-v2,14.2,-3.3,5.6,7.5,-1.8,2.2,21.8,-2.0,3.8,20.8,-2.0,3.9,770.0,-260.0,650.0,0.19,-0.11,0.14,9.0,-0.8,0.4,0.16,-0.05,0.11,1.0
GWTC-2.1-confident,GW190719_215514-v2,36.6,-11.1,42.1,19.9,-9.3,10.0,57.2,-11.6,38.4,54.5,-11.1,38.3,3730.0,-2070.0,3120.0,0.25,-0.32,0.33,22.8,-4.3,8.3,0.61,-0.3,0.39,0.91976
GWTC-2.1-confident,GW190708_232457-v2,19.8,-4.3,4.3,11.6,-2.0,3.1,31.4,-2.2,2.8,30.1,-2.1,2.9,930.0,-390.0,310.0,0.05,-0.1,0.1,13.1,-0.6,0.9,0.19,-0.07,0.06,0.99965
GWTC-2.1-confident,GW190707_093326-v2,12.1,-2.0,2.6,7.9,-1.3,1.6,20.1,-1.2,1.7,19.2,-1.2,1.7,850.0,-400.0,340.0,-0.04,-0.09,0.1,8.4,-0.4,0.6,0.17,-0.08,0.06,1.0
GWTC-2.1-confident,GW190706_222641-v2,74.0,-16.9,20.1,39.4,-15.4,18.4,112.6,-16.8,27.4,107.3,-15.9,25.2,3630.0,-2000.0,2600.0,0.28,-0.31,0.25,45.6,-9.1,13.0,0.6,-0.29,0.33,1.0
GWTC-2.1-confident,GW190701_203306-v2,54.1,-8.0,12.6,40.5,-12.1,8.7,94.3,-9.5,12.0,90.2,-8.9,11.2,2090.0,-740.0,770.0,-0.08,-0.31,0.23,40.2,-5.0,5.4,0.38,-0.12,0.11,0.99986
GWTC-2.1-confident,GW190630_185205-v2,35.1,-5.5,6.5,24.0,-5.2,5.5,59.4,-4.8,4.7,56.6,-4.5,4.4,870.0,-360.0,530.0,0.1,-0.13,0.14,25.1,-2.1,2.2,0.18,-0.07,0.09,1.0
GWTC-2.1-confident,GW190620_030421-v2,58.0,-13.3,19.2,35.0,-14.5,13.1,92.7,-13.2,18.5,88.0,-12.4,17.2,2910.0,-1320.0,1710.0,0.34,-0.29,0.22,38.1,-7.2,8.5,0.5,-0.2,0.23,0.98748
GWTC-2.1-confident,GW190602_175927-v2,71.8,-14.6,18.1,44.8,-19.6,15.5,115.6,-14.8,19.2,110.5,-13.9,17.9,2840.0,-1280.0,1930.0,0.12,-0.28,0.25,48.0,-9.7,9.5,0.49,-0.2,0.26,1.0
GWTC-2.1-confident,GW190527_092055-v2,35.6,-8.0,18.7,22.2,-8.7,9.0,58.1,-8.8,18.1,55.5,-8.5,17.9,2520.0,-1230.0,2080.0,0.1,-0.22,0.22,23.9,-3.9,6.8,0.44,-0.19,0.29,0.84784
GWTC-2.1-confident,GW190521_074359-v2,43.4,-5.5,5.8,33.4,-6.8,5.2,76.3,-5.9,7.0,72.6,-5.4,6.5,1080.0,-530.0,580.0,0.1,-0.13,0.13,32.8,-2.8,3.2,0.21,-0.1,0.1,1.0
GWTC-2.1-confident,GW190521_030229-v4,98.4,-21.7,33.6,57.2,-30.1,27.1,153.1,-16.2,42.2,147.4,-16.0,40.0,3310.0,-1800.0,2790.0,-0.14,-0.45,0.5,63.3,-14.6,19.6,0.56,-0.27,0.36,0.99989
GWTC-2.1-confident,GW190519_153544-v2,65.1,-11.0,10.8,40.8,-12.7,11.5,105.6,-13.9,14.4,100.0,-12.9,13.0,2600.0,-960.0,1720.0,0.33,-0.24,0.2,44.3,-7.5,6.8,0.45,-0.15,0.24,1.0
GWTC-2.1-confident,GW190517_055101-v2,39.2,-9.2,13.9,24.0,-7.9,7.4,64.1,-9.8,9.9,60.1,-9.4,9.9,1790.0,-880.0,1750.0,0.49,-0.28,0.21,26.5,-4.2,4.0,0.33,-0.15,0.26,1.0
GWTC-2.1-confident,GW190514_065416-v2,40.9,-9.3,17.3,28.4,-10.1,10.0,69.3,-12.1,19.8,66.4,-11.5,19.0,3890.0,-2070.0,2610.0,-0.08,-0.35,0.29,29.1,-5.4,8.1,0.64,-0.3,0.33,0.76021
GWTC-2.1-confident,GW190513_205428-v2,36.0,-9.7,10.6,18.3,-4.7,7.4,54.4,-6.7,9.3,52.1,-6.6,8.8,2210.0,-810.0,990.0,0.16,-0.22,0.29,21.8,-2.2,3.8,0.4,-0.13,0.14,0.99998
GWTC-2.1-confident,GW190512_180714-v2,23.2,-5.6,5.6,12.5,-2.6,3.5,35.8,-3.5,4.1,34.3,-3.4,4.1,1460.0,-590.0,510.0,0.02,-0.14,0.13,14.6,-0.9,1.4,0.28,-0.1,0.08,1.0
GWTC-2.1-confident,GW190503_185404-v2,41.3,-7.7,10.3,28.3,-9.2,7.5,69.4,-8.6,10.1,66.5,-7.9,9.4,1520.0,-600.0,630.0,-0.05,-0.3,0.23,29.3,-4.4,4.5,0.29,-0.1,0.1,1.0
GWTC-2.1-confident,GW190426_190642-v1,105.5,-24.1,45.3,76.0,-36.5,26.2,182.3,-35.7,40.2,172.9,-33.6,37.7,4580.0,-2280.0,3400.0,0.23,-0.41,0.42,76.0,-17.4,19.1,0.73,-0.32,0.41,0.75053
GWTC-2.1-confident,GW190425_081805-v3,2.1,-0.4,0.5,1.3,-0.2,0.3,3.4,-0.1,0.3,,,,150.0,-60.0,80.0,0.07,-0.05,0.07,1.44,-0.02,0.02,0.03,-0.01,0.02,0.78349
GWTC-2.1-confident,GW190421_213856-v2,42.0,-7.4,10.1,32.0,-9.8,8.3,73.6,-9.5,13.2,70.5,-9.0,12.4,2590.0,-1240.0,1490.0,-0.1,-0.27,0.21,31.4,-4.6,6.0,0.45,-0.19,0.21,0.99792
GWTC-2.1-confident,GW190413_134308-v2,51.3,-12.6,16.6,30.4,-12.7,11.7,81.3,-11.8,16.8,78.0,-11.5,16.1,3800.0,-1830.0,2480.0,-0.01,-0.38,0.28,33.3,-6.3,7.8,0.62,-0.26,0.32,0.99058
GWTC-2.1-confident,GW190413_052954-v2,33.7,-6.4,10.4,24.2,-7.0,6.5,58.0,-7.8,10.6,55.5,-7.3,10.1,3320.0,-1400.0,1910.0,-0.04,-0.32,0.27,24.5,-3.4,4.6,0.56,-0.21,0.25,0.9275
GWTC-2.1-confident,GW190412_053044-v4,27.7,-6.0,6.0,9.0,-1.4,2.0,36.8,-4.4,4.7,35.6,-4.5,4.8,720.0,-220.0,240.0,0.21,-0.13,0.12,13.3,-0.5,0.5,0.15,-0.04,0.04,1.0
GWTC-2.1-confident,GW190408_181802-v2,24.8,-3.5,5.4,18.5,-4.0,3.3,43.4,-3.0,4.2,41.4,-2.9,3.9,1540.0,-620.0,440.0,-0.03,-0.17,0.13,18.5,-1.2,1.9,0.29,-0.11,0.07,1.0
GWTC-2.1-confident,GW190403_051519-v1,85.0,-33.0,27.8,20.0,-8.4,26.3,106.6,-23.6,26.7,102.2,-24.3,26.3,8280.0,-4290.0,6720.0,0.68,-0.43,0.16,34.0,-8.4,15.1,1.18,-0.53,0.73,0.60924
GWTC-1-confident,GW170823-v1,39.5,-6.7,11.2,29.0,-7.8,6.7,,,,65.4,-7.4,10.1,1940.0,-900.0,970.0,0.09,-0.26,0.22,29.2,-3.6,4.6,0.35,-0.15,0.15,1.0
GWTC-1-confident,GW170818-v1,35.4,-4.7,7.5,26.7,-5.2,4.3,,,,59.4,-3.8,4.9,1060.0,-380.0,420.0,-0.09,-0.21,0.18,26.5,-1.7,2.1,0.21,-0.07,0.07,1.0
GWTC-1-confident,GW170817-v3,1.46,-0.1,0.12,1.27,-0.09,0.09,,,,2.8,,,40.0,-15.0,7.0,0.0,-0.01,0.02,1.186,-0.001,0.001,0.01,0.0,0.0,1.0
GWTC-1-confident,GW170814-v3,30.6,-3.0,5.6,25.2,-4.0,2.8,,,,53.2,-2.4,3.2,600.0,-220.0,150.0,0.07,-0.12,0.12,24.1,-1.1,1.4,0.12,-0.04,0.03,1.0
GWTC-1-confident,GW170809-v1,35.0,-5.9,8.3,23.8,-5.2,5.1,,,,56.3,-3.8,5.2,1030.0,-390.0,320.0,0.08,-0.17,0.17,24.9,-1.7,2.1,0.2,-0.07,0.05,1.0
GWTC-1-confident,GW170729-v1,50.2,-10.2,16.2,34.0,-10.1,9.1,,,,79.5,-10.2,14.7,2840.0,-1360.0,1400.0,0.37,-0.25,0.21,35.4,-4.8,6.5,0.49,-0.21,0.19,0.98
GWTC-1-confident,GW170608-v3,11.0,-1.7,5.5,7.6,-2.2,1.4,,,,17.8,-0.7,3.4,320.0,-110.0,120.0,0.03,-0.07,0.19,7.9,-0.2,0.2,0.07,-0.02,0.02,1.0
GWTC-1-confident,GW170104-v2,30.8,-5.6,7.3,20.0,-4.6,4.9,,,,48.9,-4.0,5.1,990.0,-430.0,440.0,-0.04,-0.21,0.17,21.4,-1.8,2.2,0.2,-0.08,0.08,1.0
GWTC-1-confident,GW151226-v2,13.7,-3.2,8.8,7.7,-2.5,2.2,,,,20.5,-1.5,6.4,450.0,-190.0,180.0,0.18,-0.12,0.2,8.9,-0.3,0.3,0.09,-0.04,0.04,1.0
GWTC-1-confident,GW151012-v3,23.2,-5.5,14.9,13.6,-4.8,4.1,,,,35.6,-3.8,10.8,1080.0,-490.0,550.0,0.05,-0.2,0.31,15.2,-1.2,2.1,0.21,-0.09,0.09,1.0
GWTC-1-confident,GW150914-v3,35.6,-3.1,4.7,30.6,-4.4,3.0,,,,63.1,-3.0,3.4,440.0,-170.0,150.0,-0.01,-0.13,0.12,28.6,-1.5,1.7,0.09,-0.03,0.03,1.0
